drug_abbreviation,page,context
RTV,15,"ive acid -reducing agent, alternative PI, or 
boosted ATV.  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent ("
COBI,15,"-reducing agent, alternative PI, or 
boosted ATV.  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent (pantopra"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
RTV,15,"ive acid -reducing agent, alternative PI, or 
boosted ATV.  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent ("
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
COBI,15,"-reducing agent, alternative PI, or 
boosted ATV.  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent (pantopra"
RTV,15,"ive acid -reducing agent, alternative PI, or 
boosted ATV.  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent ("
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
RTV,15,"ive acid -reducing agent, alternative PI, or 
boosted ATV.  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent ("
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
RTV,15,"ive acid -reducing agent, alternative PI, or 
boosted ATV.  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent ("
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,16,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 16 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,16,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 16 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
COBI,16,"gic antagonists 
for benign prostatic 
hyperplasia  Boosted or unboosted ATV (i.e., with or without COBI or RTV) 
inhibits CYP3A4 and other transporters.  • Alfuzosin, silodosin Concomitant use is con"
RTV,16,"gonists 
for benign prostatic 
hyperplasia  Boosted or unboosted ATV (i.e., with or without COBI or RTV) 
inhibits CYP3A4 and other transporters.  • Alfuzosin, silodosin Concomitant use is contraindic"
ATV,16,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 16 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
COBI,16,"gic antagonists 
for benign prostatic 
hyperplasia  Boosted or unboosted ATV (i.e., with or without COBI or RTV) 
inhibits CYP3A4 and other transporters.  • Alfuzosin, silodosin Concomitant use is con"
ATV,16,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 16 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,16,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 16 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,16,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 16 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,16,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 16 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
COBI,16,"gic antagonists 
for benign prostatic 
hyperplasia  Boosted or unboosted ATV (i.e., with or without COBI or RTV) 
inhibits CYP3A4 and other transporters.  • Alfuzosin, silodosin Concomitant use is con"
ATV,16,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 16 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,16,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 16 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,16,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 16 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,16,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 16 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
RTV,16,"gonists 
for benign prostatic 
hyperplasia  Boosted or unboosted ATV (i.e., with or without COBI or RTV) 
inhibits CYP3A4 and other transporters.  • Alfuzosin, silodosin Concomitant use is contraindic"
COBI,16,"gic antagonists 
for benign prostatic 
hyperplasia  Boosted or unboosted ATV (i.e., with or without COBI or RTV) 
inhibits CYP3A4 and other transporters.  • Alfuzosin, silodosin Concomitant use is con"
RTV,16,"gonists 
for benign prostatic 
hyperplasia  Boosted or unboosted ATV (i.e., with or without COBI or RTV) 
inhibits CYP3A4 and other transporters.  • Alfuzosin, silodosin Concomitant use is contraindic"
COBI,16,"gic antagonists 
for benign prostatic 
hyperplasia  Boosted or unboosted ATV (i.e., with or without COBI or RTV) 
inhibits CYP3A4 and other transporters.  • Alfuzosin, silodosin Concomitant use is con"
ATV,17,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 17 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,17,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 17 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,17,"lines.org  
 
 
MEDICAL CARE CRITERIA COMMITTEE OCTOBER 7 , 2025 17 
 
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
COBI,17,"To avoid increased bleeding risk, do not use 
ticagrelor with strong CYP3A inhibitors, particularly COBI and RTV.  
• Clopidogrel, vorapaxar:  Do not coadminister.  
• Prasugrel:  No dose adjustments"
