drug_abbreviation,page,context
RPV,84,"utegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions rep"
ETR,84,"ictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions reported.  No dose adjus"
DOR,84,"Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions reported.  No dose adjustments are required."
FTR,84,"Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions reported.  No dose adjustments are required.  
Elvitegravir (EVG),"
EVG,84,"avir (FTR) No significant interactions reported.  No dose adjustments are required.  
Elvitegravir (EVG), boosted  • Opioid analgesics:  Complex mechanisms of metabolism and 
formation of both active"
EVG,84,"avir (FTR) No significant interactions reported.  No dose adjustments are required.  
Elvitegravir (EVG), boosted  • Opioid analgesics:  Complex mechanisms of metabolism and 
formation of both active"
COBI,84,"analgesic effect and dose these analgesics accordingly.  
• Tramadol:  When tramadol is given with COBI or RTV, 
monitoring for tramadol -related adverse effects and analgesic 
effect may be required"
RTV,84,"ic effect and dose these analgesics accordingly.  
• Tramadol:  When tramadol is given with COBI or RTV, 
monitoring for tramadol -related adverse effects and analgesic 
effect may be required as clin"
COBI,84,"analgesic effect and dose these analgesics accordingly.  
• Tramadol:  When tramadol is given with COBI or RTV, 
monitoring for tramadol -related adverse effects and analgesic 
effect may be required"
RTV,84,"ic effect and dose these analgesics accordingly.  
• Tramadol:  When tramadol is given with COBI or RTV, 
monitoring for tramadol -related adverse effects and analgesic 
effect may be required as clin"
EFV,84,"ic 
effect may be required as clinically indicated; adjust tramadol 
dosage if needed.  
Efavirenz (EFV)  • Morphine, hydromorphone:  Metabolism could be reduced by 
EFV.  
• Oxycodone  may be metabol"
EFV,84,"ic 
effect may be required as clinically indicated; adjust tramadol 
dosage if needed.  
Efavirenz (EFV)  • Morphine, hydromorphone:  Metabolism could be reduced by 
EFV.  
• Oxycodone  may be metabol"
EFV,84,"ic 
effect may be required as clinically indicated; adjust tramadol 
dosage if needed.  
Efavirenz (EFV)  • Morphine, hydromorphone:  Metabolism could be reduced by 
EFV.  
• Oxycodone  may be metabol"
EFV,84,"ic 
effect may be required as clinically indicated; adjust tramadol 
dosage if needed.  
Efavirenz (EFV)  • Morphine, hydromorphone:  Metabolism could be reduced by 
EFV.  
• Oxycodone  may be metabol"
EFV,84,"ic 
effect may be required as clinically indicated; adjust tramadol 
dosage if needed.  
Efavirenz (EFV)  • Morphine, hydromorphone:  Metabolism could be reduced by 
EFV.  
• Oxycodone  may be metabol"
EFV,84,"ic 
effect may be required as clinically indicated; adjust tramadol 
dosage if needed.  
Efavirenz (EFV)  • Morphine, hydromorphone:  Metabolism could be reduced by 
EFV.  
• Oxycodone  may be metabol"
LEN,84,"V. 
• Tramadol:  When given with tramadol, a priori dose 
adjustments are necessary.  
Lenacapavir (LEN)  Moderate inhibition of CYP3A4 potentially increases opioid levels.  • Monitor for therapeutic"
COBI,84,"analgesic effect and dose these analgesics accordingly.  
• Tramadol:  When tramadol is given with COBI or RTV, 
monitoring for tramadol -related adverse effects and analgesic 
effect may be required"
RTV,84,"ic effect and dose these analgesics accordingly.  
• Tramadol:  When tramadol is given with COBI or RTV, 
monitoring for tramadol -related adverse effects and analgesic 
effect may be required as clin"
DTG,85,"levonorgestrel  
Class or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  No sig"
BIC,85,"s or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  No significant drug interact"
CAB,85,"Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  No significant drug interactions reported.  No dose"
RAL,85,"ents  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  No significant drug interactions reported.  No dose adjustments are neces"
DOR,85,"lutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  No significant drug interactions reported.  No dose adjustments are necessary.  
Elvitegravir"
EVG,85,"OR)  No significant drug interactions reported.  No dose adjustments are necessary.  
Elvitegravir (EVG), boosted  Drospirenone:  Concomitant use may cause hyperkalemia.  • Ethinyl estradiol, norgesti"
ATV,85,"ilable. Consider alternative or 
additional contraceptive methods or alternative ARV.  
Atazanavir (ATV), unboosted  Complex drug interaction potential has been described.  • Ethinyl estradiol: Do not"
ATV,85,"ilable. Consider alternative or 
additional contraceptive methods or alternative ARV.  
Atazanavir (ATV), unboosted  Complex drug interaction potential has been described.  • Ethinyl estradiol: Do not"
DRV,85,"5  mcg (no data available on other progestins).  
• Drospirenone:  Do not coadminister. 
Darunavir (DRV)/ritonavir (RTV) Combination appears to decrease oral norethindrone 
concentrations. Norethindro"
RTV,85,"available on other progestins).  
• Drospirenone:  Do not coadminister. 
Darunavir (DRV)/ritonavir (RTV) Combination appears to decrease oral norethindrone 
concentrations. Norethindrone: Consider alt"
DRV,85,"5  mcg (no data available on other progestins).  
• Drospirenone:  Do not coadminister. 
Darunavir (DRV)/ritonavir (RTV) Combination appears to decrease oral norethindrone 
concentrations. Norethindro"
COBI,85,"alternative or additional contraceptive 
methods or alternative ARV.  
Darunavir (DRV)/cobicistat (COBI) Combination has not been studied, but since COBI does not 
induce glucuronidation, it is expec"
COBI,85,"alternative or additional contraceptive 
methods or alternative ARV.  
Darunavir (DRV)/cobicistat (COBI) Combination has not been studied, but since COBI does not 
induce glucuronidation, it is expec"
EFV,85,"one:  Monitor for hyperkalemia; consider alternative 
contraceptive or alternative ARV. 
Efavirenz (EFV)  • Levonorgestrel/norgestimate, levonorgestrel:  EFV may induce 
CYP3A, the enzyme that is prim"
EFV,85,"one:  Monitor for hyperkalemia; consider alternative 
contraceptive or alternative ARV. 
Efavirenz (EFV)  • Levonorgestrel/norgestimate, levonorgestrel:  EFV may induce 
CYP3A, the enzyme that is prim"
EFV,85,"one:  Monitor for hyperkalemia; consider alternative 
contraceptive or alternative ARV. 
Efavirenz (EFV)  • Levonorgestrel/norgestimate, levonorgestrel:  EFV may induce 
CYP3A, the enzyme that is prim"
ETR,86,"ve methods or alternative 
ARV.  
• Ulipristal: Monitor closely for reduced efficacy.  
Etravirine (ETR)  Information is based on what is known with EFV drug 
interactions.  • Etonogestrel: No data av"
EFV,86,"onitor closely for reduced efficacy.  
Etravirine (ETR)  Information is based on what is known with EFV drug 
interactions.  • Etonogestrel: No data available; consider alternative or 
additional cont"
FTR,86,"ve methods or alternative ARV.  
• Ulipristal: Monitor closely for reduced efficacy.  
Fostemsavir (FTR) • Ethinyl estradiol: Increased ethinyl estradiol levels are 
expected.  
• Norethindrone:  No i"
DTG,86,"n [d] for women  
Class or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Do"
BIC,86,"s or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  No sig"
CAB,86,"Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  No significant interactions r"
RAL,86,"ents  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  No significant interactions reported.  No dose adju"
RPV,86,"utegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  No significant interactions reported.  No dose adjustments are necessary."
DOR,86,"ictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Rilpivirine (RPV)  
• Doravirine (DOR)  No significant interactions reported.  No dose adjustments are necessary.  
Elvitegravir (EVG)"
EVG,86,"ne (DOR)  No significant interactions reported.  No dose adjustments are necessary.  
Elvitegravir (EVG), boosted  PDE5 inhibitors:  PDE5 inhibitors are substrates of CYP3A. 
Increased PDE5 inhibitor"
ATV,87,"en; flibanserin [d] for women  
Class or Drug  Mechanism of Action  Clinical Comments  
Atazanavir (ATV), unboosted  Avanafil:  Increased avanafil concentration is expected (for other 
oral erectile d"
EFV,87,"hours; monitor for 
adverse effects. 
• Avanafil, flibanserin: Do not coadminister.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • PDE5 inhibitors:  EFV and ETR may reduce effectiveness of 
PDE5 inhibit"
ETR,87,"adverse effects. 
• Avanafil, flibanserin: Do not coadminister.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • PDE5 inhibitors:  EFV and ETR may reduce effectiveness of 
PDE5 inhibitors (sildenafil, vard"
EFV,87,"hours; monitor for 
adverse effects. 
• Avanafil, flibanserin: Do not coadminister.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • PDE5 inhibitors:  EFV and ETR may reduce effectiveness of 
PDE5 inhibit"
ETR,87,"adverse effects. 
• Avanafil, flibanserin: Do not coadminister.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • PDE5 inhibitors:  EFV and ETR may reduce effectiveness of 
PDE5 inhibitors (sildenafil, vard"
EFV,87,"hours; monitor for 
adverse effects. 
• Avanafil, flibanserin: Do not coadminister.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • PDE5 inhibitors:  EFV and ETR may reduce effectiveness of 
PDE5 inhibit"
ETR,87,"adverse effects. 
• Avanafil, flibanserin: Do not coadminister.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • PDE5 inhibitors:  EFV and ETR may reduce effectiveness of 
PDE5 inhibitors (sildenafil, vard"
LEN,87,"medical 
supervision to lowest effective dose.  
• Flibanserin:  Do not coadminister. 
Lenacapavir (LEN)  PDE5 inhibitors:  Moderate inhibition of CYP3A4 and P -gP 
potentially increases PDE5 inhibito"
COBI,87,".  
• Vardenafil:  Administer 2.5 mg every 72 hours; monitor for 
adverse effects. 
Abbreviations:  COBI, cobicistat; CYP, cytochrome P450; NRTI, nucleoside reverse transcriptase inhibitor; PAH, pulmo"
EVG,87,"e inhibitor. 
Notes:  
a. Sildenafil for treatment of PAH: Concurrent administration of all PIs and EVG/COBI is contraindicated . 
b. Tadalafil for treatment of PAH: When coadministered with any PIs o"
COBI,87,".  
• Vardenafil:  Administer 2.5 mg every 72 hours; monitor for 
adverse effects. 
Abbreviations:  COBI, cobicistat; CYP, cytochrome P450; NRTI, nucleoside reverse transcriptase inhibitor; PAH, pulmo"
EVG,87,"e inhibitor. 
Notes:  
a. Sildenafil for treatment of PAH: Concurrent administration of all PIs and EVG/COBI is contraindicated . 
b. Tadalafil for treatment of PAH: When coadministered with any PIs o"
COBI,87,".  
• Vardenafil:  Administer 2.5 mg every 72 hours; monitor for 
adverse effects. 
Abbreviations:  COBI, cobicistat; CYP, cytochrome P450; NRTI, nucleoside reverse transcriptase inhibitor; PAH, pulmo"
BIC,88,"ing information)  
Class or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Dolutegravir (DTG)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Ri"
CAB,88,"s or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Dolutegravir (DTG)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Rilpivirine (RPV)  
• Efa"
DTG,88,"Action  Clinical Comments  
• NRTIs  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Dolutegravir (DTG)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravi"
RAL,88,"ents  
• NRTIs  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Dolutegravir (DTG)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Fostems"
DOR,88,"ctegravir (BIC)  
• Cabotegravir (CAB)  
• Dolutegravir (DTG)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Fostemsavir (FTR) 
• Maravir"
RPV,88,"botegravir (CAB)  
• Dolutegravir (DTG)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Fostemsavir (FTR) 
• Maraviroc (MVC)  No significa"
EFV,88,"Dolutegravir (DTG)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Fostemsavir (FTR) 
• Maraviroc (MVC)  No significant interactions repo"
ETR,88,"• Raltegravir (RAL)  
• Doravirine (DOR)  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Fostemsavir (FTR) 
• Maraviroc (MVC)  No significant interactions reported.  No dose adjust"
FTR,88,"• Doravirine (DOR)  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Fostemsavir (FTR) 
• Maraviroc (MVC)  No significant interactions reported.  No dose adjustments are necessary."
MVC,88,"• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Fostemsavir (FTR) 
• Maraviroc (MVC)  No significant interactions reported.  No dose adjustments are necessary.  
PIs Boosted or unb"
COBI,88,"d.  No dose adjustments are necessary.  
PIs Boosted or unboosted atazanavir (i.e., with or without COBI or 
RTV) and darunavir boosted with COBI or RTV inhibit CYP3A4 and 
other transporters. • Alfuz"
RTV,88,"se adjustments are necessary.  
PIs Boosted or unboosted atazanavir (i.e., with or without COBI or 
RTV) and darunavir boosted with COBI or RTV inhibit CYP3A4 and 
other transporters. • Alfuzosin, sil"
COBI,88,"d.  No dose adjustments are necessary.  
PIs Boosted or unboosted atazanavir (i.e., with or without COBI or 
RTV) and darunavir boosted with COBI or RTV inhibit CYP3A4 and 
other transporters. • Alfuz"
RTV,88,"se adjustments are necessary.  
PIs Boosted or unboosted atazanavir (i.e., with or without COBI or 
RTV) and darunavir boosted with COBI or RTV inhibit CYP3A4 and 
other transporters. • Alfuzosin, sil"
EVG,88,"together, monitor for tamsulosin -associated adverse effects, 
such as hypotension.  
Elvitegravir (EVG), boosted  COBI -boosted EVG inhibits CYP3A4 and other transporters and is 
likely to increase l"
COBI,88,"d.  No dose adjustments are necessary.  
PIs Boosted or unboosted atazanavir (i.e., with or without COBI or 
RTV) and darunavir boosted with COBI or RTV inhibit CYP3A4 and 
other transporters. • Alfuz"
EVG,88,"together, monitor for tamsulosin -associated adverse effects, 
such as hypotension.  
Elvitegravir (EVG), boosted  COBI -boosted EVG inhibits CYP3A4 and other transporters and is 
likely to increase l"
COBI,88,"d.  No dose adjustments are necessary.  
PIs Boosted or unboosted atazanavir (i.e., with or without COBI or 
RTV) and darunavir boosted with COBI or RTV inhibit CYP3A4 and 
other transporters. • Alfuz"
RTV,88,"se adjustments are necessary.  
PIs Boosted or unboosted atazanavir (i.e., with or without COBI or 
RTV) and darunavir boosted with COBI or RTV inhibit CYP3A4 and 
other transporters. • Alfuzosin, sil"
DTG,88,"Action  Clinical Comments  
• NRTIs  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Dolutegravir (DTG)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravi"
BIC,88,"ing information)  
Class or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Dolutegravir (DTG)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Ri"
CAB,88,"s or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Dolutegravir (DTG)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Rilpivirine (RPV)  
• Efa"
RAL,88,"ents  
• NRTIs  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Dolutegravir (DTG)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Fostems"
EVG,88,"together, monitor for tamsulosin -associated adverse effects, 
such as hypotension.  
Elvitegravir (EVG), boosted  COBI -boosted EVG inhibits CYP3A4 and other transporters and is 
likely to increase l"
RPV,88,"botegravir (CAB)  
• Dolutegravir (DTG)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Fostemsavir (FTR) 
• Maraviroc (MVC)  No significa"
DOR,88,"ctegravir (BIC)  
• Cabotegravir (CAB)  
• Dolutegravir (DTG)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Fostemsavir (FTR) 
• Maravir"
FTR,88,"• Doravirine (DOR)  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Fostemsavir (FTR) 
• Maraviroc (MVC)  No significant interactions reported.  No dose adjustments are necessary."
EFV,89,"see prescribing information)  
Class or Drug  Mechanism of Action  Clinical Comments  
• Efavirenz (EFV)  
• Etravirine (ETR)  • No significant interactions are expected.  
• EFV (but not ETR) may inc"
ETR,89,"mation)  
Class or Drug  Mechanism of Action  Clinical Comments  
• Efavirenz (EFV)  
• Etravirine (ETR)  • No significant interactions are expected.  
• EFV (but not ETR) may increase bupropion metab"
EFV,89,"see prescribing information)  
Class or Drug  Mechanism of Action  Clinical Comments  
• Efavirenz (EFV)  
• Etravirine (ETR)  • No significant interactions are expected.  
• EFV (but not ETR) may inc"
ETR,89,"mation)  
Class or Drug  Mechanism of Action  Clinical Comments  
• Efavirenz (EFV)  
• Etravirine (ETR)  • No significant interactions are expected.  
• EFV (but not ETR) may increase bupropion metab"
DTG,89,"ormation)  
Class or Drug  Mechanism of Action  Clinical Comments  
• Other NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boos"
BIC,89,"rug  Mechanism of Action  Clinical Comments  
• Other NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Other boosted"
CAB,89,"n  Clinical Comments  
• Other NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Other boosted PIs  
• Rilpivirine (RP"
RAL,89,"• Other NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Other boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)"
EVG,89,"tegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Other boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)"
RPV,89,"(CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Other boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No signific"
EFV,89,"see prescribing information)  
Class or Drug  Mechanism of Action  Clinical Comments  
• Efavirenz (EFV)  
• Etravirine (ETR)  • No significant interactions are expected.  
• EFV (but not ETR) may inc"
ETR,89,"mation)  
Class or Drug  Mechanism of Action  Clinical Comments  
• Efavirenz (EFV)  
• Etravirine (ETR)  • No significant interactions are expected.  
• EFV (but not ETR) may increase bupropion metab"
DOR,89,"• Other boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions reported.  No dose adjustments are necessary."
FTR,89,"• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Abacavir (ABC)  Alc"
ABC,89,"emsavir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Abacavir (ABC)  Alcohol:  ABC is metabolized via alcohol dehydrogenase, and 
competitive metabolism may increa"
ABC,89,"emsavir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Abacavir (ABC)  Alcohol:  ABC is metabolized via alcohol dehydrogenase, and 
competitive metabolism may increa"
ABC,89,"emsavir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Abacavir (ABC)  Alcohol:  ABC is metabolized via alcohol dehydrogenase, and 
competitive metabolism may increa"
ABC,89,"emsavir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Abacavir (ABC)  Alcohol:  ABC is metabolized via alcohol dehydrogenase, and 
competitive metabolism may increa"
ABC,89,"emsavir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Abacavir (ABC)  Alcohol:  ABC is metabolized via alcohol dehydrogenase, and 
competitive metabolism may increa"
ABC,89,"emsavir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Abacavir (ABC)  Alcohol:  ABC is metabolized via alcohol dehydrogenase, and 
competitive metabolism may increa"
RTV,89,"d 
adverse effects. 
• ABC does not appear to increase blood alcohol concentrations.  
• Ritonavir (RTV; oral 
solutions) 
• Lopinavir/ritonavir (LPV/RTV; oral suspension or 
capsules)  All contain al"
RTV,89,"d 
adverse effects. 
• ABC does not appear to increase blood alcohol concentrations.  
• Ritonavir (RTV; oral 
solutions) 
• Lopinavir/ritonavir (LPV/RTV; oral suspension or 
capsules)  All contain al"
DTG,90,"ng information)  
Class or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boos"
BIC,90,"s or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Doravirine (DO"
CAB,90,"Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Doravirine (DOR)  
• Fostemsavir (FTR"
RAL,90,"ents  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Doravirine (DOR)  
• Fostemsavir (FTR) BUP, methadone:  No"
EVG,90,"tegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Doravirine (DOR)  
• Fostemsavir (FTR) BUP, methadone:  No significant interaction"
DOR,90,"(BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Doravirine (DOR)  
• Fostemsavir (FTR) BUP, methadone:  No significant interactions are expected. No dose adjust"
FTR,90,"r (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Doravirine (DOR)  
• Fostemsavir (FTR) BUP, methadone:  No significant interactions are expected. No dose adjustments are necessary."
ATV,90,"hadone:  No significant interactions are expected. No dose adjustments are necessary.  
Atazanavir (ATV), unboosted  • BUP, norbuprenorphine:  ATV greatly increases BUP and 
norbuprenorphine concentra"
ATV,90,"hadone:  No significant interactions are expected. No dose adjustments are necessary.  
Atazanavir (ATV), unboosted  • BUP, norbuprenorphine:  ATV greatly increases BUP and 
norbuprenorphine concentra"
ATV,90,"hadone:  No significant interactions are expected. No dose adjustments are necessary.  
Atazanavir (ATV), unboosted  • BUP, norbuprenorphine:  ATV greatly increases BUP and 
norbuprenorphine concentra"
RTV,90,"Methadone:  No significant interactions are expected.  • BUP: Coadministration is not recommended; RTV boosting may 
decrease effect. 
• Methadone: No dose adjustments are required; exercise 
caution"
RTV,90,"Methadone:  No significant interactions are expected.  • BUP: Coadministration is not recommended; RTV boosting may 
decrease effect. 
• Methadone: No dose adjustments are required; exercise 
caution"
RTV,90,"Methadone:  No significant interactions are expected.  • BUP: Coadministration is not recommended; RTV boosting may 
decrease effect. 
• Methadone: No dose adjustments are required; exercise 
caution"
RTV,90,"Methadone:  No significant interactions are expected.  • BUP: Coadministration is not recommended; RTV boosting may 
decrease effect. 
• Methadone: No dose adjustments are required; exercise 
caution"
COBI,90,"d opioid toxicity, including sedation, impaired 
cognition, and respiratory distress.  
Cobicistat (COBI) -boosted PIs  • BUP/NLX: COBI -boosted PIs may increase BUP concentrations 
while decreasing N"
COBI,90,"d opioid toxicity, including sedation, impaired 
cognition, and respiratory distress.  
Cobicistat (COBI) -boosted PIs  • BUP/NLX: COBI -boosted PIs may increase BUP concentrations 
while decreasing N"
COBI,90,"d opioid toxicity, including sedation, impaired 
cognition, and respiratory distress.  
Cobicistat (COBI) -boosted PIs  • BUP/NLX: COBI -boosted PIs may increase BUP concentrations 
while decreasing N"
COBI,90,"d opioid toxicity, including sedation, impaired 
cognition, and respiratory distress.  
Cobicistat (COBI) -boosted PIs  • BUP/NLX: COBI -boosted PIs may increase BUP concentrations 
while decreasing N"
RTV,90,"Methadone:  No significant interactions are expected.  • BUP: Coadministration is not recommended; RTV boosting may 
decrease effect. 
• Methadone: No dose adjustments are required; exercise 
caution"
DRV,90,"eve clinical effect; monitor for 
signs and symptoms of opiate withdrawal.  
RTV-boosted darunavir (DRV), 
taken twice per day  • BUP, BUP/NLX:  Combination has no effect on BUP/NLX 
concentrations."
RTV,90,"Methadone:  No significant interactions are expected.  • BUP: Coadministration is not recommended; RTV boosting may 
decrease effect. 
• Methadone: No dose adjustments are required; exercise 
caution"
DRV,90,"eve clinical effect; monitor for 
signs and symptoms of opiate withdrawal.  
RTV-boosted darunavir (DRV), 
taken twice per day  • BUP, BUP/NLX:  Combination has no effect on BUP/NLX 
concentrations."
RPV,90,"e: Monitor for signs of opiate withdrawal and increase 
methadone dose if necessary.  
Rilpivirine (RPV)  • BUP: No significant interactions are expected.  
• Methadone: RPV mildly reduces methadone c"
RPV,90,"e: Monitor for signs of opiate withdrawal and increase 
methadone dose if necessary.  
Rilpivirine (RPV)  • BUP: No significant interactions are expected.  
• Methadone: RPV mildly reduces methadone c"
